673365	1	[1 2 4 5 9]	2018-03-28 08:57:47
673366	2	[1 2 4 5 9]	2018-03-28 09:07:57
673367	1	[1 5 7 8 10]	2018-03-28 09:12:58
673368	2	[1 5 7 8 10]	2018-03-28 09:17:48
673369	3	[1 5 7 8 10]	2018-03-28 09:22:48
673370	4	[1 5 7 8 10]	2018-03-28 09:27:49
673371	1	[2 4 5 7 9]	2018-03-28 09:32:50
673372	2	[2 4 5 7 9]	2018-03-28 09:37:50
673373	3	[2 4 5 7 9]	2018-03-28 09:42:50
673374	4	[2 4 5 7 9]	2018-03-28 09:47:51
673375	1	[3 5 6 7 10]	2018-03-28 09:52:52
673376	1	[5 6 7 9 10]	2018-03-28 09:57:52
673377	2	[5 6 7 9 10]	2018-03-28 10:02:53
673378	3	[5 6 7 9 10]	2018-03-28 10:07:53
673379	1	[1 2 3 5 8]	2018-03-28 10:12:54
673380	1	[1 3 5 7 8]	2018-03-28 10:17:44
673381	1	[1 2 5 7 8]	2018-03-28 10:22:44
673382	1	[2 3 5 7 8]	2018-03-28 10:27:55
673383	1	[1 3 5 7 8]	2018-03-28 10:32:55
673384	2	[1 3 5 7 8]	2018-03-28 10:37:45
673385	1	[2 3 5 7 8]	2018-03-28 10:42:55
673386	2	[2 3 5 7 8]	2018-03-28 10:47:45
673387	3	[2 3 5 7 8]	2018-03-28 10:52:46
673388	4	[2 3 5 7 8]	2018-03-28 10:57:57
673389	5	[2 3 5 7 8]	2018-03-28 11:02:48
673390	1	[5 6 8 9 10]	2018-03-28 11:07:59
673391	2	[5 6 8 9 10]	2018-03-28 11:12:59
673392	1	[2 4 5 8 10]	2018-03-28 11:17:49
673393	1	[4 5 6 8 10]	2018-03-28 11:22:59
673394	1	[2 4 5 6 8]	2018-03-28 11:27:50
673395	2	[2 4 5 6 8]	2018-03-28 11:32:50
673396	3	[2 4 5 6 8]	2018-03-28 11:38:00
673397	4	[2 4 5 6 8]	2018-03-28 11:42:51
673398	1	[3 7 8 9 10]	2018-03-28 11:47:52
673399	2	[3 7 8 9 10]	2018-03-28 11:52:53
673400	1	[1 2 5 8 9]	2018-03-28 11:57:53
673401	1	[1 2 3 5 8]	2018-03-28 12:02:53
673402	1	[1 2 3 4 9]	2018-03-28 12:07:53
673403	2	[1 2 3 4 9]	2018-03-28 12:12:53
673404	1	[1 6 7 8 9]	2018-03-28 12:17:44
673405	2	[1 6 7 8 9]	2018-03-28 12:22:44
673406	1	[1 4 5 7 10]	2018-03-28 12:27:54
673407	1	[1 4 6 7 10]	2018-03-28 12:32:44
673408	2	[1 4 6 7 10]	2018-03-28 12:37:54
673409	1	[2 3 5 6 10]	2018-03-28 12:42:55
673410	1	[1 2 3 5 10]	2018-03-28 12:48:35
